"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"-2000","TURKMENISTAN","40","TURKMENISTAN:  W","38","58.2","18","7.1","7.1","10","1","1","1","1"
"-426","GREECE","130","GREECE:  EUBOEA","38.9","22.7","","7.1","7.1","10","2500","4","3","3"
"-373","GREECE","130","GREECE","38.25","22.25","","7.3","7.3","11","","3","3","3"
"-216","SPAIN","130","SPAIN:  CADIZ","36.2","-7.17","","","","","","1","2","1"
"-47","CHINA","30","CHINA:  GANSU PROVINCE:  LONGXI","34.9","104.7","","","","9","","3","2","3"
"-26","CHINA","30","CHINA:  SICHUAN:  YIBIN","28.8","104.6","","5.5","5.5","7","13","1","2",""
"37","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.1","36.1","","","","","","3","4",""
"46","CHINA","30","CHINA:  HENAN PROVINCE:  NANYANG","33","112.5","","6.5","6.5","8","","2","2","2"
"89","SOUTH KOREA","30","SOUTH KOREA:  KWANGJU","35.9","126.5","","6.3","","8","","3","2",""
"93","TURKEY","140","TURKEY:  HELLESPONT","40.6","26.7","","","","","","3","3",""
"100","SOUTH KOREA","30","SOUTH KOREA:  KYONGJU","35.8","129.2","","6.3","6.3","8","","3","2","3"
"115","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.1","36.1","","7.5","7.5","11","260000","4","4",""
"120","TURKEY","140","TURKEY: NICOMEDIA, NICAEA","40.77","29.92","","7.2","7.2","9","","3","2","3"
"128","CHINA","30","CHINA:  GANSU PROVINCE:  GANGU","34.7","105.4","","6.5","6.5","8","","2","2","2"
"138","CHINA","30","CHINA:  GANSU PROVINCE","35.8","103.5","","6.8","6.8","9","","3","3","3"
"143","CHINA","30","CHINA:  GANSU PROVINCE","34.7","105.3","","7","7","9","","1","1",""
"177","TURKEY","140","TURKEY: IZMIR, AEGEAN ISLANDS","38.6","26.65","","","","7","","3","2",""
"262","TURKEY","140","TURKEY:  S COASTS; LIBYA","36.6","30","","","","","","3","2","3"
"304","SOUTH KOREA","30","SOUTH KOREA:  KYONGJU","35.5","129.1","","6.3","","8","","3","2",""
"342","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.2","36.1","","","","","40000","4","4",""
"358","TURKEY","140","TURKEY:  IZNIK, IZMIT [NICOMEDIA]","40.77","29.9","","","","7","","3","3",""
"365","GREECE","130","GREECE:  CRETE:  KNOSSOS","35","23","","8","8","11","","3","4","3"
"367","TURKEY","140","TURKEY:  IZNIK,NICAEA","40.7","29.7","","","","","1000","3","3",""
"447","TURKEY","140","TURKEY:  ISTANBUL (CONSTANTINOPLE)","40.9","28.5","","7.3","7.3","9","","3","3","3"
"458","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.2","36.1","","","","9","80000","4","3",""
"460","THAILAND","60","THAILAND:  YONOK-NAGABANDHU","20.3","100","","","","12","","3","3",""
"477","TURKEY","140","TURKEY:  ISTANBUL (CONSTANTINOPLE)","41","29","","","","10","","3","3",""
"501","NORTH KOREA","30","NORTH KOREA:  PYONGYANG","39","125.3","","6.3","","8","","3","2",""
"510","SOUTH KOREA","30","SOUTH KOREA:  KYONGJU","35.5","129.1","","6.3","","8","","3","2",""
"512","CHINA","30","CHINA:  SHAANXI PROVINCE:  YINGXIAN","39.4","113.3","","7.5","7.5","10","5130","4","4",""
"525","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG","36.25","36.1","","7","7","9","250000","4","4",""
"528","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.25","36.1","","7.1","7.1","10","4870","4","4",""
"551","GREECE","130","GREECE:  SCHISMA, BOETIA","38.4","22.3","","7.1","7.1","9","5000","4","4","4"
"551","LEBANON","140","LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA","33.9","35.5","","7.3","","10","","4","4",""
"554","GREECE","130","GREECE: KOS","36.8","27.3","","7","7","","","3","2","2"
"587","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36.25","36.1","","","","9","60000","4","4",""
"600","CHINA","30","CHINA:  SHAANXI PROVINCE","34.3","108.9","","","","7","101","3","2","3"
"614","ITALY","130","ITALY","41","15","","","","","1000","3","3",""
"649","CHINA","30","CHINA:  SHAANXI PROVINCE:  LINFEN","36.1","111.5","","5.5","5.5","7","50","1","2","2"
"662","IRAN","140","IRAN:  QUMIS:  SEMNAN,DAMGHAN","35.3","54","","","","","40000","4","3",""
"684","JAPAN","30","JAPAN","32.5","134","","8.4","8.4","","","3","3",""
"688","TURKEY","140","TURKEY:  IZMIR","38.4","27.2","","","","9","2000","4","3",""
"734","CHINA","30","CHINA:  GANSU PROVINCE:  TIANSHUI","34.6","105.6","","7","7","9","101","3","2","3"
"740","TURKEY","140","TURKEY:  ISTANBUL (CONSTANTINOPLE)","40.7","29.3","","7.3","7.3","9","","3","3","3"
"742","SYRIA","140","SYRIA;  ISRAEL; ASIA","35","38","","","","","","3","3",""
"777","CHINA","30","CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN","37.8","115.2","","","","8","200","3","2","3"
"778","ITALY","130","ITALY:  TREVISO","45.4","12.2","","5.6","","","48","1","2",""
"780","SOUTH KOREA","30","SOUTH KOREA:  KYONGJU","35.5","129.1","","6.3","","8","100","2","2",""
"793","ITALY","130","ITALY:  VERONA","45.5","11","","","","","","3","3",""
"811","UK","120","UNITED KINGDOM:  SCOTLAND:  ST ANDREWS","56.3","-2.8","","","","","1400","4","3","3"
"814","CHINA","30","CHINA:  SICHUAN PROVINCE:  XICHANG","27.9","102.2","","7","7","","101","3","1",""
"818","AFGHANISTAN","40","AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA","36.8","66.2","50","7.5","7.5","8","","3","3",""
"818","JAPAN","30","JAPAN:  TOKKAIDO","35.2","139.3","","7.9","7.9","","","3","2",""
"838","UZBEKISTAN","40","UZBEKISTAN:  FERGANA","40.4","71.3","","","","","15000","4","4",""
"844","SYRIA","140","SYRIA:  DIMASHQ (DAMASCUS); TURKEY:  ANTAKYA","33.5","36.3","","","","8","50000","4","4",""
"847","IRAQ","140","IRAQ:  AL-MAWSIL","36.21","42.08","","","","10","70000","4","3",""
"850","IRAN","140","IRAN:  REY (RAY)","35.3","51.2","","","","","45000","4","3",""
"854","ARMENIA","40","ARMENIA:  TOVIN","40","45","","","","","2000","4","3",""
"855","IRAN","140","IRAN:  REY (RAY)","35.3","51.2","","","","","","3","3","3"
"856","TUNISIA","15","TUNISIA:  TUNIS","36.8","10.2","","","","10","45000","4","4",""
"856","IRAN","140","IRAN:  DAMGHAN, QUMIS","36.2","54.3","","7.9","7.9","10","200000","4","4","4"
"858","TURKEY","140","TURKEY; ARMENIA:  DVINA","40","44.6","10","5.2","","","12000","4","3",""
"858","IRAN","140","IRAN:  TABRIZ","38","46.2","","","","","","3","3",""
"859","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH)","36","36","","","","11","","3","3",""
"863","IRAN","140","IRAN:  REY (RAY)","35.3","51.2","","","","","","3","3",""
"863","TURKEY","140","TURKEY; ARMENIA:  DVINA","40","44.6","10","4.9","","","","3","2",""
"863","JAPAN","30","JAPAN: NAOETSU, NIIGATA PREFECTURE","37.1","138","","7","7","","","3","3","3"
"863","IRAN","140","IRAN:  TABRIZ; ARMENIA:  JEREVAN (ERIVAN)","38","46.2","","","","","","3","3",""
"869","JAPAN","30","JAPAN:  SANRIKU","38.5","143.8","","8.6","8.6","","","3","4","3"
"871","IRAN","140","IRAN:  SAIMAREH","33.2","47.2","","6.8","6.8","7","20000","4","4","4"
"876","CHINA","30","CHINA:  NINGXIA: QINGTONGXIA","37.8","105.9","","6.5","6.5","8","","3","2","2"
"885","EGYPT","15","EGYPT:  AL-QAHIRAH (CAIRO)","30","31.1","","","","10","1000","3","3","3"
"887","JAPAN","30","JAPAN:  NANKAIDO","33","135.3","","8.6","8.6","","","2","3","3"
"893","ARMENIA","40","ARMENIA:  DVIN; IRAN:  ARDABIL","40","44.6","10","","","10","150000","4","4","4"
"894","ITALY","130","ITALY:  VERONA","45.3","11","","5.3","","","","2","2",""
