	Year	Country	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Damage Description	Houses Destroyed Description	Death Description
0	-2000	106	38.0	58.2	18.0	7.1	10.0	1	1	1	1
1	-426	40	38.9	22.7	18.627450980392158	7.1	10.0	2500	3	3	4
2	-373	40	38.25	22.25	19.254901960784313	7.3	11.0	1878	3	3	3
3	-216	94	36.2	-7.17	19.88235294117647	6.7	10.0	1256	2	1	1
4	-47	21	34.9	104.7	20.509803921568626	6.1	9.0	634	2	3	3
5	-26	21	28.8	104.6	21.137254901960784	5.5	7.0	13	2	2	1
6	37	105	36.1	36.1	21.764705882352942	6.0	7.5	43344	4	2	3
7	46	21	33.0	112.5	22.392156862745097	6.5	8.0	86675	2	2	2
8	89	93	35.9	126.5	23.019607843137255	6.3	8.0	130006	2	2	3
9	93	105	40.6	26.7	23.647058823529413	6.3	8.0	173337	3	2	3
10	100	93	35.8	129.2	24.274509803921568	6.3	8.0	216668	2	3	3
11	115	105	36.1	36.1	24.901960784313726	7.5	11.0	260000	4	3	4
12	120	105	40.77	29.92	25.529411764705884	7.2	9.0	232500	2	3	3
13	128	21	34.7	105.4	26.15686274509804	6.5	8.0	205000	2	2	2
14	138	21	35.8	103.5	26.784313725490197	6.8	9.0	177500	3	3	3
15	143	21	34.7	105.3	27.411764705882355	7.0	9.0	150000	1	3	1
16	177	105	38.6	26.65	28.03921568627451	6.766666666666667	7.0	122500	2	3	3
17	262	105	36.6	30.0	28.666666666666664	6.533333333333333	7.5	95000	2	3	3
18	304	93	35.5	129.1	29.294117647058822	6.3	8.0	67500	2	3	3
19	342	105	36.2	36.1	29.92156862745098	6.866666666666666	7.5	40000	4	3	4
20	358	105	40.77	29.9	30.549019607843135	7.433333333333334	7.0	27000	3	3	3
21	365	40	35.0	23.0	31.176470588235293	8.0	11.0	14000	4	3	3
22	367	105	40.7	29.7	31.80392156862745	7.65	10.0	1000	3	3	3
23	447	105	40.9	28.5	32.431372549019606	7.3	9.0	40500	3	3	3
24	458	105	36.2	36.1	33.05882352941177	7.05	9.0	80000	3	3	4
25	460	101	20.3	100.0	33.68627450980392	6.8	12.0	65026	3	3	3
26	477	105	41.0	29.0	34.31372549019608	6.55	10.0	50052	3	3	3
27	501	77	39.0	125.3	34.94117647058823	6.3	8.0	35078	2	3	3
28	510	93	35.5	129.1	35.568627450980394	6.3	8.0	20104	2	3	3
29	512	21	39.4	113.3	36.19607843137255	7.5	10.0	5130	4	3	4
30	525	105	36.25	36.1	36.82352941176471	7.0	9.0	250000	4	3	4
31	528	105	36.25	36.1	37.450980392156865	7.1	10.0	4870	4	3	4
